isbsg_project_id,project_prf_year_of_project,external_eef_organisation_type,project_prf_application_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_max_team_size,process_pmf_docs,tech_tf_tools_used,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,process_pmf_development_methodologies_agile_development,process_pmf_development_methodologies_iterative,process_pmf_development_methodologies_missing,process_pmf_development_methodologies_multifunctional_teams,process_pmf_development_methodologies_scrum,process_pmf_development_methodologies_spiral,process_pmf_development_methodologies_unified_process,process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,tech_tf_client_roles_business_logic_or_rule_processing,tech_tf_client_roles_data_entry_and_validation,tech_tf_client_roles_data_retrieval_and_presentation,tech_tf_client_roles_missing,tech_tf_client_roles_run_a_computer_human_interface,tech_tf_client_roles_security,tech_tf_client_roles_web_public_interface,tech_tf_client_roles_web_html_browser,tech_tf_server_roles_database_server,tech_tf_server_roles_file_print_server,tech_tf_server_roles_ftp_server,tech_tf_server_roles_html_web_server,tech_tf_server_roles_mail_server,tech_tf_server_roles_messaging_server,tech_tf_server_roles_missing,tech_tf_server_roles_multi_user_legacy_application,tech_tf_server_roles_object_component_server,tech_tf_server_roles_security_authentication,external_eef_industry_sector_Service_Industry,project_prf_application_group_Business_Application,project_prf_application_group_Mathematically_Intensive_Application,project_prf_application_group_Missing,project_prf_application_group_Real_Time_Application,project_prf_application_group_business_application,project_prf_application_group_missing,project_prf_development_type_Enhancement,project_prf_development_type_New_Development,project_prf_development_type_Re_development,tech_tf_development_platform_MF,tech_tf_development_platform_MR,tech_tf_development_platform_Missing,tech_tf_development_platform_Multi,tech_tf_development_platform_PC,tech_tf_development_platform_Proprietary,tech_tf_language_type_2GL,tech_tf_language_type_3GL,tech_tf_language_type_4GL,tech_tf_language_type_5GL,tech_tf_language_type_Missing,functional_size_group_L_1000_2999,functional_size_group_M_100_999,functional_size_group_S_100,project_prf_relative_size_L,project_prf_relative_size_M1,project_prf_relative_size_M2,project_prf_relative_size_Missing,project_prf_relative_size_S,project_prf_relative_size_XS,project_prf_team_size_group_15_20,project_prf_team_size_group_2,project_prf_team_size_group_21_30,project_prf_team_size_group_3_4,project_prf_team_size_group_31_40,project_prf_team_size_group_5_8,project_prf_team_size_group_9_14,project_prf_team_size_group_Missing,project_prf_case_tool_used_Missing,project_prf_case_tool_used_No,project_prf_case_tool_used_Yes,tech_tf_architecture_Client_server,tech_tf_architecture_Missing,tech_tf_architecture_Multi_tier,tech_tf_architecture_Multi_tier_with_web_public_interface,tech_tf_architecture_Stand_alone,tech_tf_architecture_Stand_alone_1,tech_tf_client_server_Don_t_Know,tech_tf_client_server_Missing,tech_tf_client_server_No,tech_tf_client_server_Not_Applicable,tech_tf_client_server_Yes,tech_tf_dbms_used_Missing,tech_tf_dbms_used_No,tech_tf_dbms_used_Yes
31862,2008,transport & storage,logistic or supply planning & control,APPS,232,3402,5417,15.251255,18.187445,28.939816,5.364282,3.9295156,6.1151094,9.900775,17,0,1.000013,1.0,8.0,,2.0,1.3576058,31.974552,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
27771,2015,food processing,electronic data interchange; logistic or supply planning & control; stock control & order processing,.Net,23,82,82,2.8032007,3.7414455,12.186893,5.125029,,4.1002636,3.0301013,17,4,1.0000807,,,1.2359648e-06,3.0,2.7508183,0.055521812,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
10426,2015,citizens and the municipalities,catalogue/register of things or events,ASP.Net,24,84,81,3.0392747,1.6260996,18.514484,5.100001,1.9361502,9.981106,3.0912175,15,2,,1.0,4.0,1.9522548e-05,1.0,3.397929,32.75414,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
10388,2010,post/mail services,customer relationship management,.Net,28,178,82,7.0627084,4.6452727,,5.1135035,2.0580451,9.960453,3.0492647,9,2,1.0001993,1.0,2.0,,2.0,1.084894,11.472081,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
26955,2007,transport & storage; wholesale & retail trade,"document management; job, case, incident, project management",Java,869,14555,19690,28.80029,46.095966,11.301468,89.209114,,22.235872,14.750539,17,2,2.234204,,4.0,0.027522111,2.0,6.2664423,10.106906,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
25737,2009,food processing,financial transaction process/accounting,PL/I,121,140,98,2.472781,2.1753752,25.948015,121.90688,3.4033153,2.2854443,3.560502,16,0,1.0048201,2.0,,0.20635848,1.0,4.4772515,12.306291,0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
11647,2009,"agriculture, forestry, fishing, hunting; transport & storage",financial transaction process/accounting,Visual Basic,336,3822,2631,7.793296,8.43176,27.468811,143.43105,3.6731517,3.7783604,5.3640685,17,0,1.8482275,3.0,6.0,0.6527864,,8.910557,20.462885,,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
13178,2008,airport,financial transaction process/accounting,PL/I,73,2934,2204,18.695808,24.036423,45.76943,55.122856,,3.3613966,14.443972,16,2,1.1017234,5.0,8.0,0.31102306,1.0,6.0526195,34.993675,,1.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
10426,2009,community services,online analysis and reporting,PL/I,159,11130,8573,19.857517,13.58908,11.918146,74.93402,2.0207367,2.4260845,23.041107,17,3,3.0456269,1.0,7.0,0.011532079,1.0,5.9920125,28.04646,0.0,0.0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
22347,2009,community services; invoice-handling,geographic or spatial information system,APPS,1172,8077,15678,19.556536,39.602074,5.465731,15.82437,1.8442425,21.779272,19.589666,11,2,,2.0,9.0,,3.0,12.764029,0.0006743919,,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
30792,2011,"agriculture, forestry, fishing, hunting; transport & storage",post exchange,RPG,29,89,84,3.5402112,10.921357,14.358363,5.1005573,2.3173478,4.94151,4.7559834,17,2,2.263803,2.0,,0.050148018,2.0,8.01716,22.542767,,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
11647,2012,community services,financial transaction process/accounting,JavaScript,714,2257,1995,7.7200623,8.180553,4.1032524,162.84035,2.395672,16.580692,18.338045,17,4,1.0993065,1.0,11.0,,9.0,5.02539,5.8547726,0.0,2.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
10393,2011,"agriculture, forestry, fishing, hunting",electronic data interchange; logistic or supply planning & control; stock control & order processing,SQL,377,1695,1030,4.6707053,3.977748,92.87636,14.253059,4.790822,3.0934596,8.0696945,12,2,1.5365287,9.0,9.0,6.930937,5.0,7.0697904,0.5868584,,1.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True
19858,2015,transport & storage,security controls,C++,23,81,81,0.86457074,8.838066,,5.1,7.8997216,4.2855787,3.0053186,16,4,1.0125084,1.0,2.0,,1.0,0.87857753,,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True
27771,2006,airport,electronic data interchange,RPG,265,13887,10127,39.687763,23.139023,15.51659,15.172705,0.803591,5.171361,31.34671,17,4,3.5956683,,8.0,0.572245,5.0,9.842423,0.23977295,0.0,1.0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,True,True,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,True,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
21796,2008,community services; government; public administration,air traffic management,APPS,826,4405,3673,5.390931,3.32802,4.9366674,5.1521015,2.519755,24.459738,8.99061,2,0,1.0000159,1.0,4.0,1.7998707,2.0,0.90511805,8.555452,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
23909,2003,surveillance & security,financial transaction process/accounting,RPG,898,6473,1609,7.9374776,0.9546504,44.47336,99.83358,4.647129,3.1030133,8.235069,13,0,2.4568827,1.0,5.0,1.1844826,1.0,4.153093,2.1629806,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
16624,2010,community services; municipality,airport weather observation systems; meteorological  events detection,Java,597,1659,1371,4.451565,11.246107,,8.617504,,15.271548,3.6307065,15,0,1.9499878,3.0,8.0,1.2769717,1.0,7.683883,,,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
26702,2012,post,post exchange,APPS,39,81,81,0.41253892,0.6246292,97.31212,52.34913,9.948393,1.7727611,3.0141003,2,2,1.0232505,,5.0,0.36430928,10.0,2.2620356,,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False
27610,2002,"agriculture, forestry, fishing, hunting; transport & storage",missing,APPS,363,2419,3642,3.4833028,3.492257,19.5349,164.77657,3.8180223,2.3362226,6.167104,15,2,1.2362919,3.0,4.0,0.87511367,2.0,5.5263295,26.86362,1.0,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
17786,2005,community services,electronic data interchange,APPS,208,7807,3496,29.80648,21.779325,4.203987,6.039767,0.860098,6.5507045,17.208513,8,2,1.300362,,8.0,6.8481013e-06,1.0,4.4085608,8.357593,0.0,0.0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
13597,2004,community services,"customer billing; document management; financial transaction process/accounting; online analysis and reporting; reservation system (eg. airline, hotel); stock control & order processing; workflow support & management",Assembler,112,1639,1189,8.1500225,9.971903,14.2491455,5.311602,,5.70214,3.7731326,5,0,1.1689757,,4.0,3.2211375,2.0,0.86247474,1.8213835,,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
21167,2008,air traffic management,catalogue/register of things or events; electronic data interchange; financial transaction process/accounting,Missing,220,2310,1201,6.282729,2.5978715,17.084652,24.240273,1.3334594,5.333575,7.049974,3,2,1.2653792,7.0,5.0,2.3939154,,5.0806017,0.0056817657,0.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True
23909,2009,transport & storage,electronic data interchange,APPS,342,1838,867,1.9698035,0.66165155,35.692547,169.8,4.624504,3.0189333,6.0453577,9,2,1.2294991,2.0,3.0,1.9473286,6.0,,,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False
16712,2007,community services,financial transaction process/accounting,C,330,4057,1224,12.454883,2.789227,12.948418,155.55864,,8.952986,12.699246,15,0,1.2244296,1.0,,2.7867045,1.0,,31.077778,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,True,True,False,True,True,False,True
12301,2012,transport & storage,financial transaction process/accounting,C++,33,776,290,16.295332,21.917515,101.69558,5.1,2.385903,19.138933,3.2601333,15,4,1.004964,2.0,4.0,,3.0,8.754656,25.429686,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
22301,2008,transport & storage,logistic or supply planning & control; management or performance reporting,Java,607,3594,3690,5.241687,9.200515,41.068943,169.8,4.5533686,3.324058,8.220881,8,2,,5.0,,,,2.9074614,12.654089,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False
25611,2007,surveillance & security,customer billing; financial transaction process/accounting,PL/I,438,10940,15955,22.562088,29.529057,31.8261,5.2177916,3.2212265,25.18266,7.22778,5,4,1.3391571,1.0,3.0,,5.0,1.981233,,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
32308,2006,food processing,air traffic management,MS-Navision Properitory Language,624,1096,1104,2.0794506,1.6243005,,5.630774,5.0396605,26.773457,3.179101,1,0,,,3.0,,1.0,3.2878323,19.679258,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
25546,2007,community services,logistic or supply planning & control,Visual Basic,189,7964,6616,32.776844,36.009975,4.7494936,5.1000066,2.203318,21.8096,8.619061,2,2,1.0013127,2.0,6.0,0.64882284,1.0,,20.12348,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
24745,2002,community services,customer billing,Missing,315,6243,5416,9.587601,3.9687102,84.77477,142.36403,2.557105,2.247855,11.088841,2,0,1.581872,3.0,3.0,2.4659977,1.0,5.3841066,21.531507,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
16446,2013,transport & storage,logistic or supply planning & control,.Net,222,81,83,0.40512305,0.61438125,,102.23446,10.840815,5.3764186,3.2118962,8,0,1.0127398,,,0.06291915,2.0,5.703866,15.318368,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False
17786,2003,air traffic management,airport weather observation systems; meteorological  events detection,RPG,100,738,193,9.672781,1.2702837,49.21337,13.933337,1.221414,2.2294223,4.026233,7,0,1.0013922,1.0,4.0,1.9330205,4.0,3.3616154,2.2614322,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
23909,2011,community services,logistic or supply planning & control,PL/I,1305,1582,2700,2.3168302,1.9590545,,110.5127,1.4928292,23.16826,15.387796,10,0,,,7.0,5.8732354e-07,3.0,4.4160953,28.37133,0.0,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
25737,2003,"agriculture, forestry, fishing, hunting; transport & storage","job, case, incident, project management; workflow support & management",RPG,496,19203,23839,16.44919,10.264238,10.568858,169.8,,4.134007,10.722658,5,2,1.1759591,1.0,,0.45997927,1.0,1.7281903,29.714878,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
10393,2003,community services,distribution,RPG,148,4689,5299,26.427921,27.777958,,6.1576366,1.0492713,13.351925,9.600393,17,2,2.231594,1.0,7.0,1.1605645,,7.4409575,23.394316,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
11647,2011,community services,financial transaction process/accounting,Java,192,1603,1987,15.216689,14.913773,5.6383815,19.647121,1.2779689,17.701094,9.316973,17,2,1.0337234,2.0,9.0,0.43353033,3.0,3.4026792,,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True
10393,2008,transport & storage,electronic data interchange; logistic or supply planning & control; stock control & order processing,RPG,117,86,88,2.0196385,3.2336018,9.005287,5.1260133,1.6456106,5.287429,8.623122,11,2,2.4433577,1.0,,0.00020445572,4.0,4.6393642,3.9404793,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
13597,2002,transport & storage,"customer billing; document management; financial transaction process/accounting; online analysis and reporting; reservation system (eg. airline, hotel); stock control & order processing; workflow support & management",MS-Navision Properitory Language,641,155,193,0.47207513,0.7831139,76.72317,141.305,9.206263,3.2878935,3.6337519,1,0,1.0052978,,3.0,,2.0,3.9455144,4.318896,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True
13120,2009,surveillance & security,financial transaction process/accounting,C++,380,1664,2936,3.4452806,7.7177296,51.05325,85.90511,,3.8755007,3.2245724,8,0,1.538146,6.0,7.0,7.6405797,,3.6941829,4.1751676,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True
11262,2012,food processing,complex process control; workflow support & management,Java,176,498,371,3.7904372,3.5241194,,5.10008,7.6093993,16.362831,3.1163092,9,2,,2.0,4.0,0.6607886,2.0,3.269296,10.471604,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
12581,2007,community services,"customer billing; document management; financial transaction process/accounting; online analysis and reporting; reservation system (eg. airline, hotel); stock control & order processing; workflow support & management",Java,343,6834,950,31.31154,7.883807,18.170357,5.157051,,27.05686,8.50296,17,4,1.005359,1.0,6.0,0.32774454,1.0,4.9726477,0.6826954,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
25559,2007,community services,catalogue/register of things or events; management or performance reporting,Visual Basic,38,973,668,10.639871,13.729399,29.254229,66.0937,2.1886632,1.8901091,5.5806384,17,4,1.5649874,,,0.014543983,2.0,4.5116763,14.211696,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
